322553.jpg,6,-0.523809,0.380952
408904.jpg,6,-0.484619,0.763801
180784.jpg,6,-0.304878,0.295199
339644.jpg,6,-0.444444,0.412698
81065.jpg,3,0.253968,0.849206
377477.jpg,3,0.453013,0.684787
405634.jpg,1,0.740741,0.0661376
169556.jpg,3,0.00862664,0.616805
138343.jpg,3,0.10582,0.304233
208394.jpg,0,0.0238095,0.0
138687.jpg,3,-0.0316056,0.890223
404156.jpg,2,-0.789337,-0.0431332
176734.jpg,1,0.619435,-0.0822687
41703.jpg,2,-0.428571,-0.222222
107560.jpg,6,-0.348432,0.706543
288010.jpg,2,-0.692025,-0.353271
18864.jpg,3,-0.0338753,0.793651
233947.jpg,6,-0.478183,0.806934
22910.jpg,6,-0.341371,0.650333
70038.jpg,0,0.0,0.0
603.jpg,1,0.812376,0.0712989
67632.jpg,3,0.285714,0.753968
227146.jpg,0,-0.368732,0.126422
132418.jpg,0,-0.0946404,0.0647539
305876.jpg,2,-0.577833,-0.181008
225590.jpg,4,-0.134921,0.809524
57039.jpg,4,-0.087108,0.711382
265320.jpg,1,0.827526,-0.120983
78566.jpg,7,-0.55788,0.662483
66637.jpg,0,0.133713,0.0388199
131535.jpg,1,0.410872,0.0842815
276096.jpg,5,-0.710154,0.46741
208344.jpg,6,-0.567553,0.75443
178636.jpg,0,-0.358196,0.321323
100761.jpg,6,-0.626844,0.39507
344951.jpg,2,-0.425733,-0.307474
270373.jpg,6,-0.134921,0.365079
104929.jpg,2,-0.704333,-0.260297
380194.jpg,0,-0.39507,-0.194901
376803.jpg,0,-0.361395,0.248016
93738.jpg,7,-0.309717,0.353271
290471.jpg,2,-0.842044,-0.382307
41995.jpg,0,0.00793651,0.031746
5354.jpg,1,0.65873,0.119048
397221.jpg,3,0.269841,0.769841
37856.jpg,4,-0.144451,0.861725
361755.jpg,6,-0.712901,0.477575
367539.jpg,2,-0.523809,-0.31746
174652.jpg,2,-0.134921,-0.396825
10981.jpg,1,0.780711,0.138026
162389.jpg,2,-0.526759,-0.352929
389690.jpg,3,0.0327192,0.573845
326070.jpg,6,-0.468816,0.805942
50166.jpg,2,-0.491718,-0.146653
286837.jpg,2,-0.87108,-0.232288
